epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.136,1.63276,1.83077,1.35608,0.39457,0.25383,0.22971,0.12883,1.77143,2.1121,1.5729,0.000369521,0.000369521,0.000369521
2,310.403,1.63225,1.58023,1.35278,0.41223,0.26603,0.22014,0.11569,1.70543,1.95124,1.51901,0.000721543,0.000721543,0.000721543
3,460.783,1.62182,1.54953,1.36554,0.69028,0.21728,0.24175,0.12833,1.80063,1.93764,1.57604,0.00105523,0.00105523,0.00105523
4,613.742,1.60685,1.45622,1.31914,0.55189,0.29453,0.29989,0.17304,1.59903,1.57832,1.45057,0.00102851,0.00102851,0.00102851
5,770.668,1.54148,1.36362,1.29612,0.56729,0.29081,0.29328,0.17411,1.56735,1.68207,1.42792,0.00100101,0.00100101,0.00100101
6,924.033,1.49853,1.32557,1.27445,0.51084,0.31893,0.31051,0.18598,1.50541,1.47918,1.3854,0.000973514,0.000973514,0.000973514
7,1081.48,1.45584,1.2899,1.26389,0.51623,0.33087,0.32913,0.19783,1.51115,1.57121,1.38091,0.000946016,0.000946016,0.000946016
8,1241.96,1.44968,1.23572,1.24335,0.52614,0.34374,0.33931,0.2037,1.49473,1.38726,1.3661,0.000918519,0.000918519,0.000918519
9,1402.65,1.42334,1.19398,1.22449,0.5505,0.34439,0.35048,0.21157,1.46356,1.36114,1.34939,0.000891022,0.000891022,0.000891022
10,1554.11,1.4057,1.19128,1.23051,0.53149,0.34435,0.33848,0.20607,1.46316,1.39418,1.3524,0.000863525,0.000863525,0.000863525
11,1706.07,1.38691,1.14857,1.20559,0.6199,0.35137,0.36645,0.22699,1.40797,1.27769,1.3134,0.000836027,0.000836027,0.000836027
12,1859.46,1.36436,1.14331,1.21468,0.58193,0.34649,0.35899,0.22433,1.39729,1.28698,1.30301,0.00080853,0.00080853,0.00080853
13,2012.24,1.34675,1.13251,1.19866,0.55737,0.35615,0.3695,0.22849,1.39512,1.30671,1.29555,0.000781033,0.000781033,0.000781033
14,2171.89,1.33461,1.10596,1.19679,0.55213,0.3656,0.37173,0.23419,1.37676,1.24971,1.30486,0.000753536,0.000753536,0.000753536
15,2331.64,1.31145,1.07463,1.18246,0.58263,0.36785,0.37804,0.2372,1.36428,1.26082,1.28947,0.000726038,0.000726038,0.000726038
16,2486.08,1.29329,1.07599,1.1825,0.54902,0.34765,0.3402,0.21045,1.3905,1.31795,1.30709,0.000698541,0.000698541,0.000698541
17,2637.31,1.28907,1.06298,1.17772,0.55217,0.36282,0.36395,0.22221,1.38893,1.27098,1.30324,0.000671044,0.000671044,0.000671044
18,2792.64,1.27913,1.04354,1.17674,0.57771,0.34038,0.3586,0.22397,1.3926,1.29682,1.31282,0.000643547,0.000643547,0.000643547
19,2943.53,1.27774,1.01539,1.16296,0.56285,0.38682,0.39759,0.25213,1.33056,1.20709,1.26299,0.000616049,0.000616049,0.000616049
20,3097.91,1.28509,1.02185,1.15482,0.61531,0.38616,0.40444,0.25447,1.32143,1.16494,1.26056,0.000588552,0.000588552,0.000588552
21,3249.62,1.25396,1.00979,1.15419,0.58172,0.39023,0.39635,0.25441,1.32064,1.18211,1.25775,0.000561055,0.000561055,0.000561055
22,3401.79,1.23831,0.9904,1.14779,0.56199,0.37946,0.39003,0.25034,1.30783,1.17031,1.24647,0.000533558,0.000533558,0.000533558
23,3552.26,1.23677,0.97184,1.13818,0.57586,0.41352,0.41648,0.26895,1.3086,1.16938,1.2507,0.00050606,0.00050606,0.00050606
24,3705.65,1.22917,0.95555,1.13337,0.60185,0.40029,0.40699,0.26076,1.31534,1.14107,1.26242,0.000478563,0.000478563,0.000478563
25,3856.24,1.23211,0.95114,1.12914,0.58294,0.40486,0.39879,0.25438,1.29479,1.16666,1.24412,0.000451066,0.000451066,0.000451066
26,4008.03,1.20391,0.93708,1.12748,0.56817,0.39026,0.40235,0.25813,1.30766,1.16697,1.25015,0.000423569,0.000423569,0.000423569
27,4157.75,1.19694,0.94285,1.13209,0.6108,0.39816,0.41429,0.26561,1.31318,1.10993,1.26351,0.000396071,0.000396071,0.000396071
28,4308.18,1.20288,0.91346,1.12048,0.63174,0.39731,0.41481,0.26893,1.28858,1.09494,1.23641,0.000368574,0.000368574,0.000368574
29,4460.18,1.20015,0.91026,1.10741,0.63111,0.40034,0.41915,0.27201,1.2774,1.10202,1.22541,0.000341077,0.000341077,0.000341077
30,4610.91,1.18669,0.8967,1.10873,0.61935,0.40625,0.42087,0.27221,1.28315,1.10454,1.23312,0.00031358,0.00031358,0.00031358
31,4764.29,1.22472,0.9306,1.1561,0.61126,0.4144,0.42394,0.27332,1.29145,1.08803,1.2338,0.000286083,0.000286083,0.000286083
32,4914.7,1.19494,0.89874,1.14555,0.62546,0.42165,0.42943,0.27911,1.27776,1.05891,1.23511,0.000258585,0.000258585,0.000258585
33,5062.68,1.19304,0.89208,1.14658,0.63401,0.41315,0.42964,0.27936,1.2689,1.0773,1.23222,0.000231088,0.000231088,0.000231088
34,5213.25,1.16552,0.87032,1.13499,0.61348,0.41147,0.42677,0.27964,1.26613,1.07177,1.22293,0.000203591,0.000203591,0.000203591
35,5362.29,1.16968,0.86223,1.13839,0.56855,0.42819,0.4313,0.28142,1.25166,1.05385,1.21067,0.000176094,0.000176094,0.000176094
36,5511.17,1.15469,0.84603,1.12514,0.58996,0.42735,0.43022,0.27954,1.25396,1.05908,1.21082,0.000148596,0.000148596,0.000148596
37,5660.82,1.13834,0.83066,1.12067,0.58895,0.43528,0.43725,0.28459,1.25871,1.04137,1.21784,0.000121099,0.000121099,0.000121099
38,5808.74,1.13139,0.81841,1.11916,0.6383,0.42594,0.43862,0.28546,1.24397,1.03658,1.20709,9.36017e-05,9.36017e-05,9.36017e-05
39,5957.69,1.14292,0.81646,1.10812,0.6295,0.4309,0.44575,0.29315,1.24017,1.02684,1.20684,6.61045e-05,6.61045e-05,6.61045e-05
40,6105.97,1.1182,0.79108,1.09886,0.62825,0.42672,0.44439,0.29136,1.23483,1.02724,1.20311,3.86073e-05,3.86073e-05,3.86073e-05
